#list of all textures

#split by ", " (comma with space)

#name - name of the file
#rotation - block sides on which the texture can be
##any - any
##sides - south, west, north, east
##top - top
##bottom - bottom
##topbottom - top and bottom

#category - in-app category
##existing categories: Wood, Concrete Powder, Concrete, Wool, Glazed Terracotta, Terracotta, Shulker Boxes, Quartz, Corals, Ores, Consrete, Stone, Misc, Other, Blocks, Plants, Powered, Desert

#display name - in-app name
#----
#multiple textures cannot share the same name.

name:acacia_log, rotation:any, category:Wood, display-name:Acacia Log
name:light_gray_wool, rotation:any, category:Wool, display-name:Light Gray Wool
name:lime_concrete, rotation:any, category:Concrete, display-name:Lime Concrete
name:lime_concrete_powder, rotation:any, category:Concrete Powder, display-name:Lime Concrete Powder
name:lime_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Lime Glazed Terracotta
name:lime_shulker_box, rotation:any, category:Shulker Boxes, display-name:Lime Shulker Box
name:lime_terracotta, rotation:any, category:Terracotta, display-name:Lime Terracotta
name:lime_wool, rotation:any, category:Wool, display-name:Lime Wool
name:magenta_concrete, rotation:any, category:Concrete, display-name:Magenta Concrete
name:magenta_concrete_powder, rotation:any, category:Concrete Powder, display-name:Magenta Concrete Powder
name:magenta_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Magenta Glazed Terracotta
name:magenta_shulker_box, rotation:any, category:Shulker Boxes, display-name:Magenta Shulker Box
name:magenta_terracotta, rotation:any, category:Terracotta, display-name:Magenta Terracotta
name:magenta_wool, rotation:any, category:Wool, display-name:Magenta Wool
name:magma, rotation:any, category:Misc, display-name:Magma
name:melon_side, rotation:side, category:Plants, display-name:Melon Side
name:melon_top, rotation:top, category:Plants, display-name:Melon Top
name:mossy_cobblestone, rotation:any, category:Stone, display-name:Mossy Cobblestone
name:mossy_stone_bricks, rotation:any, category:Stone, display-name:Mossy Stone Bricks
name:netherrack, rotation:any, category:Stone, display-name:Netherrack
name:nether_bricks, rotation:any, category:Stone, display-name:Nether Bricks
name:nether_quartz_ore, rotation:any, category:Ores, display-name:Nether Quartz Ore
name:nether_wart_block, rotation:any, category:Plants, display-name:Nether Wart Block
name:note_block, rotation:any, category:Powered, display-name:Note Block
name:oak_log, rotation:any, category:Wood, display-name:Oak Log
name:oak_log_top, rotation:any, category:Wood, display-name:Oak Log Top
name:oak_planks, rotation:any, category:Wood, display-name:Oak Planks
name:observer_back, rotation:any, category:Powered, display-name:Observer Back
name:observer_front, rotation:any, category:Powered, display-name:Observer Front
name:observer_side, rotation:any, category:Powered, display-name:Observer Side
name:observer_top, rotation:any, category:Powered, display-name:Observer Top
name:obsidian, rotation:any, category:Stone, display-name:Obsidian
name:orange_concrete, rotation:any, category:Concrete, display-name:Orange Concrete
name:orange_concrete_powder, rotation:any, category:Concrete Powder, display-name:Orange Concrete Powder
name:orange_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Orange Glazed Terracotta
name:orange_shulker_box, rotation:any, category:Shulker Boxes, display-name:Orange Shulker Box
name:orange_terracotta, rotation:any, category:Terracotta, display-name:Orange Terracotta
name:orange_wool, rotation:any, category:Wool, display-name:Orange Wool
name:packed_ice, rotation:any, category:Misc, display-name:Packed Ice
name:pink_concrete, rotation:any, category:Concrete, display-name:Pink Concrete
name:pink_concrete_powder, rotation:any, category:Concrete Powder, display-name:Pink Concrete Powder
name:pink_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Pink Glazed Terracotta
name:pink_shulker_box, rotation:any, category:Shulker Boxes, display-name:Pink Shulker Box
name:pink_terracotta, rotation:any, category:Terracotta, display-name:Pink Terracotta
name:pink_wool, rotation:any, category:Wool, display-name:Pink Wool
name:piston_bottom, rotation:any, category:Powered, display-name:Piston Bottom
name:piston_side, rotation:any, category:Powered, display-name:Piston Side
name:piston_top, rotation:any, category:Powered, display-name:Piston Top
name:piston_top_sticky, rotation:any, category:Powered, display-name:Sticky Piston
name:polished_andesite, rotation:any, category:Stone, display-name:Polished Andesite
name:polished_diorite, rotation:any, category:Stone, display-name:Polished Diorite
name:polished_granite, rotation:any, category:Stone, display-name:Polished Granite
name:prismarine_bricks, rotation:any, category:Misc, display-name:Prismarine Bricks
name:pumpkin_side, rotation:side, category:Plants, display-name:Pumpkin Side
name:pumpkin_top, rotation:top, category:Plants, display-name:Pumpkin Top
name:purple_concrete, rotation:any, category:Concrete, display-name:Purple Concrete
name:purple_concrete_powder, rotation:any, category:Concrete Powder, display-name:Purple Concrete Powder
name:purple_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Purple Glazed Terracotta
name:purple_shulker_box, rotation:any, category:Shulker Boxes, display-name:Purple Shulker Box
name:purple_terracotta, rotation:any, category:Terracotta, display-name:Purple Terracotta
name:purple_wool, rotation:any, category:Wool, display-name:Purple Wool
name:purpur_block, rotation:any, category:Stone, display-name:Purpur Block
name:purpur_pillar, rotation:any, category:Stone, display-name:Purpur Pillar
name:purpur_pillar_top, rotation:any, category:Stone, display-name:Purpur Pillar Top
name:quartz_block_bottom, rotation:bottom, category:Quartz, display-name:Quartz Block Bottom
name:quartz_block_side, rotation:side, category:Quartz, display-name:Quartz Block Side
name:quartz_block_top, rotation:any, category:Quartz, display-name:Quartz Block Top
name:quartz_pillar, rotation:any, category:Quartz, display-name:Quartz Pillar
name:quartz_pillar_top, rotation:any, category:Quartz, display-name:Quartz Pillar Top
name:redstone_block, rotation:any, category:Misc, display-name:Redstone Block
name:redstone_ore, rotation:any, category:Blocks, display-name:Redstone Ore
name:red_concrete, rotation:any, category:Concrete, display-name:Red Concrete
name:red_concrete_powder, rotation:any, category:Concrete Powder, display-name:Red Concrete Powder
name:red_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Red Glazed Terracotta
name:red_nether_bricks, rotation:any, category:Stone, display-name:Red Nether Bricks
name:red_sand, rotation:any, category:Desert, display-name:Red Sand
name:red_sandstone, rotation:side, category:Desert, display-name:Red Sandstone Side
name:red_sandstone_bottom, rotation:bottom, category:Desert, display-name:Red Sandstone Bottom
name:red_sandstone_top, rotation:top, category:Desert, display-name:Red Sandstone Top
name:red_shulker_box, rotation:any, category:Shulker Boxes, display-name:Red Shulker Box
name:red_terracotta, rotation:any, category:Terracotta, display-name:Red Terracotta
name:red_wool, rotation:any, category:Wool, display-name:Red Wool
name:sand, rotation:any, category:Desert, display-name:Sand
name:sandstone, rotation:side, category:Desert, display-name:Sandstone Side
name:sandstone_bottom, rotation:bottom, category:Desert, display-name:Sandstone Bottom
name:sandstone_top, rotation:top, category:Desert, display-name:Sandstone Top
name:shulker_box, rotation:any, category:Shulker Boxes, display-name:Shulker Box
name:snow, rotation:any, category:Misc, display-name:Snow
name:soul_sand, rotation:any, category:Misc, display-name:Soul Sand
name:sponge, rotation:any, category:Misc, display-name:Sponge
name:spruce_log, rotation:any, category:Wood, display-name:Spruce Log
name:spruce_log_top, rotation:any, category:Wood, display-name:Spruce Log Top
name:spruce_planks, rotation:any, category:Wood, display-name:Spruce Planks
name:spruce_trapdoor, rotation:any, category:Powered, display-name:Spruce Trapdoor
name:stone, rotation:any, category:Stone, display-name:Stone
name:stone_bricks, rotation:any, category:Stone, display-name:Stone Bricks
name:stone_slab_side, rotation:side, category:Stone, display-name:Stone Slab Side
name:stone_slab_top, rotation:top, category:Stone, display-name:Stone Slab Top
name:stripped_acacia_log, rotation:any, category:Wood, display-name:Stripped Acacia Log
name:stripped_acacia_log_top, rotation:any, category:Wood, display-name:Stripped Acacia Log Top
name:stripped_birch_log, rotation:any, category:Wood, display-name:Stripped Birch Log
name:stripped_birch_log_top, rotation:any, category:Wood, display-name:Stripped Birch Log Top
name:stripped_dark_oak_log, rotation:any, category:Wood, display-name:Stripped Dark Oak Log
name:stripped_dark_oak_log_top, rotation:any, category:Wood, display-name:Stripped Dark Oak Log Top
name:stripped_jungle_log, rotation:any, category:Wood, display-name:Stripped Jungle Log
name:stripped_jungle_log_top, rotation:any, category:Wood, display-name:Stripped Jungle Log Top
name:stripped_oak_log, rotation:any, category:Wood, display-name:Stripped Oak Log
name:stripped_oak_log_top, rotation:any, category:Wood, display-name:Stripped Oak Log Top
name:stripped_spruce_log, rotation:any, category:Wood, display-name:Stripped Spruce Log
name:stripped_spruce_log_top, rotation:any, category:Wood, display-name:Stripped Spruce Log Top
name:terracotta, rotation:any, category:Terracotta, display-name:Terracotta
name:tnt_bottom, rotation:bottom, category:Powered, display-name:Tnt Bottom
name:tnt_side, rotation:side, category:Powered, display-name:Tnt Side
name:tnt_top, rotation:top, category:Powered, display-name:Tnt Top
name:tube_coral_block, rotation:any, category:Corals, display-name:Tube Coral Block
name:wet_sponge, rotation:any, category:Misc, display-name:Wet Sponge
name:white_concrete, rotation:any, category:Concrete, display-name:White Concrete
name:white_concrete_powder, rotation:any, category:Concrete Powder, display-name:White Concrete Powder
name:white_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:White Glazed Terracotta
name:white_shulker_box, rotation:any, category:Shulker Boxes, display-name:White Shulker Box
name:white_terracotta, rotation:any, category:Terracotta, display-name:White Terracotta
name:white_wool, rotation:any, category:Wool, display-name:White Wool
name:yellow_concrete, rotation:any, category:Concrete, display-name:Yellow Concrete
name:yellow_concrete_powder, rotation:any, category:Concrete Powder, display-name:Yellow Concrete Powder
name:yellow_glazed_terracotta, rotation:any, category:Glazed Terracotta, display-name:Yellow Glazed Terracotta
name:yellow_shulker_box, rotation:any, category:Shulker Boxes, display-name:Yellow Shulker Box
name:yellow_terracotta, rotation:any, category:Terracotta, display-name:Yellow Terracotta
name:yellow_wool, rotation:any, category:Wool, display-name:Yellow Wool
